Date,Receiveno,Hour,Dept,Category,Sub Category,Type_Product,Product_Name,Qty,Price,Value
11-Jun-20,JAK0211.58.20200611.0086,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
11-Jun-20,JAK0211.58.20200611.0133,14,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
12-Jun-20,JAK0211.58.20200612.0120,14,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
12-Jun-20,JAK0211.58.20200612.0121,14,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
12-Jun-20,JAK0211.58.20200612.0134,15,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
15-Jun-20,JAK0211.58.20200615.0117,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
15-Jun-20,JAK0211.58.20200615.0127,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
15-Jun-20,JAK0211.58.20200615.0281,20,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
16-Jun-20,JAK0211.58.20200616.0031,8,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
16-Jun-20,JAK0211.58.20200616.0123,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
17-Jun-20,JAK0211.58.20200617.0156,13,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
17-Jun-20,JAK0211.58.20200617.0191,16,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
17-Jun-20,JAK0211.58.20200617.0248,18,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
18-Jun-20,JAK0211.58.20200618.0165,14,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
18-Jun-20,JAK0211.58.20200618.0252,19,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
19-Jun-20,JAK0211.58.20200619.0106,12,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
19-Jun-20,JAK0211.58.20200619.0137,14,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
19-Jun-20,JAK0211.58.20200619.0149,14,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
19-Jun-20,JAK0211.58.20200619.0195,17,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
19-Jun-20,JAK0211.58.20200619.0197,17,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,1,18000,18000
19-Jun-20,JAK0211.58.20200619.0199,17,CIGARETTE,CIGARETTE,KRETEK CIGARETTE HANDMADE (SKT),CIGARETTE,DJI SAM SOE KRETEK 12S,2,18000,36000
